"seq_id"	"P5_mean_fpkm"	"P6_mean_fpkm"	"logFC.P6.P5."	"p.value"	"significant"	"regulate"	"KO.x"	"Pathway"	"g"	"abslogfc"	"KO_g"	"Description"	"KO.y"	"Definition"	"gene_name"	"KO_gene"
"comp7188_c1_seq1.1.688.minus.P53"	2.29	0.05	-3.99	2.75e-05	"yes"	"down"	"K01728"	"map02024"	"Alteromonas"	3.99	"K01728_Alteromonas"	"pectinesterase"	"K01728"	"pectate lyase [EC:4.2.2.2]"	"-"	"K01728 _ -"
"comp50183_c2_seq2.8609.9118.plus.P32"	82.21	5.02	-4.01	3.32e-05	"yes"	"down"	"K03071"	"map02024"	"Alteromonas"	4.01	"K03071_Alteromonas"	"One of the proteins required for the normal export of preproteins out of the cell cytoplasm. It is a molecular chaperone that binds to a subset of precursor proteins, maintaining them in a translocation-competent state. It also specifically binds to its receptor SecA (By similarity)"	"K03071"	"preprotein translocase subunit SecB"	"-"	"K03071 _ -"
"comp28816_c0_seq1.8.1423.minus.P33"	4.89	0.26	-3.8	3.98e-05	"yes"	"down"	"K02032"	"map02024"	"Alteromonas"	3.8	"K02032_Alteromonas"	"(ABC) transporter"	"K02032"	"peptide/nickel transport system ATP-binding protein"	"-"	"K02032 _ -"
"comp26588_c0_seq1.13858.14106.plus.P31"	157.77	14.68	-3.42	4.45e-05	"yes"	"down"	"K03666"	"map02024"	"Alteromonas"	3.42	"K03666_Alteromonas"	"RNA chaperone that binds small regulatory RNA (sRNAs) and mRNAs to facilitate mRNA translational regulation in response to envelope stress, environmental stress and changes in metabolite concentrations. Also binds with high specificity to tRNAs (By similarity)"	"K03666"	"host factor-I protein"	"-"	"K03666 _ -"
"comp28397_c0_seq1.8150.9469.plus.P31"	167.78	14.66	-3.51	6.81e-05	"yes"	"down"	"K03076"	"map02024"	"Alteromonas"	3.51	"K03076_Alteromonas"	"The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently (By similarity)"	"K03076"	"preprotein translocase subunit SecY"	"secY"	"K03076 _ secY"
"comp50069_c9_seq1.2105.2482.plus.P32"	280.11	8.86	-4.97	6.85e-05	"yes"	"down"	"K03073"	"map02024"	"Alteromonas"	4.97	"K03073_Alteromonas"	"preprotein translocase subunit SecE"	"K03073"	"preprotein translocase subunit SecE"	"-"	"K03073 _ -"
"comp33023_c1_seq2.14002.15441.plus.P31"	29.34	3.88	-2.89	0.000103	"yes"	"down"	"K03106"	"map02024"	"Alteromonas"	2.89	"K03106_Alteromonas"	"Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY"	"K03106"	"signal recognition particle subunit SRP54 [EC:3.6.5.4]"	"-"	"K03106 _ -"
"comp30477_c0_seq1.5051.6190.plus.P33"	23.58	1.36	-4.02	0.000105	"yes"	"down"	"K11752"	"map02024"	"Alteromonas"	4.02	"K11752_Alteromonas"	"Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate (By similarity)|Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate (By similarity)"	"K11752"	"diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]"	"-"	"K11752 _ -"
"comp14961_c0_seq1.29088.30698.plus.P31"	7.61	0.29	-4.31	0.000117	"yes"	"down"	"K02035"	"map02024"	"Alteromonas"	4.31	"K02035_Alteromonas"	"Extracellular solute-binding protein, family 5"	"K02035"	"peptide/nickel transport system substrate-binding protein"	"-"	"K02035 _ -"
"comp15349_c0_seq1.57.1397.plus.P33"	0.12	1.74	3.06	0.000118	"yes"	"up"	"K01657"	"map02024"	"Psychroserpens"	3.06	"K01657_Psychroserpens"	"synthase (Component I)"	"K01657"	"anthranilate synthase component I [EC:4.1.3.27]"	"-"	"K01657 _ -"
"comp10966_c0_seq1.15.704.plus.P51"	9.51	1.21	-2.87	0.00014	"yes"	"down"	"K10914"	"map02020"	"Alteromonas"	2.87	"K10914_Alteromonas"	"transcriptional regulator, crp fnr family"	"K10914"	"CRP/FNR family transcriptional regulator, cyclic AMP receptor protein"	"-"	"K10914 _ -"
"comp10966_c0_seq1.15.704.plus.P51"	9.51	1.21	-2.87	0.00014	"yes"	"down"	"K10914"	"map02024"	"Alteromonas"	2.87	"K10914_Alteromonas"	"transcriptional regulator, crp fnr family"	"K10914"	"CRP/FNR family transcriptional regulator, cyclic AMP receptor protein"	"-"	"K10914 _ -"
"comp14961_c0_seq1.30701.31684.plus.P31"	3.39	0.17	-3.71	0.000168	"yes"	"down"	"K02033"	"map02024"	"Alteromonas"	3.71	"K02033_Alteromonas"	"Binding-protein-dependent transport systems inner membrane component"	"K02033"	"peptide/nickel transport system permease protein"	"-"	"K02033 _ -"
"comp33942_c0_seq1.23847.24503.plus.P31"	14.81	1.66	-3.09	0.000237	"yes"	"down"	"K20264"	"map02020"	"Alteromonas"	3.09	"K20264_Alteromonas"	"Two component transcriptional regulator, LuxR family"	"K20264"	"two-component system, NarL family, response regulator FusR"	"-"	"K20264 _ -"
"comp33942_c0_seq1.23847.24503.plus.P31"	14.81	1.66	-3.09	0.000237	"yes"	"down"	"K20264"	"map02024"	"Alteromonas"	3.09	"K20264_Alteromonas"	"Two component transcriptional regulator, LuxR family"	"K20264"	"two-component system, NarL family, response regulator FusR"	"-"	"K20264 _ -"
"comp22244_c0_seq1.32.1372.minus.P51"	126	5.98	-4.37	0.000285	"yes"	"down"	"K07715"	"map02020"	"Alteromonas"	4.37	"K07715_Alteromonas"	"two component, sigma54 specific, transcriptional regulator, Fis family"	"K07715"	"two-component system, NtrC family, response regulator GlrR"	"-"	"K07715 _ -"
"comp22244_c0_seq1.32.1372.minus.P51"	126	5.98	-4.37	0.000285	"yes"	"down"	"K07715"	"map02024"	"Alteromonas"	4.37	"K07715_Alteromonas"	"two component, sigma54 specific, transcriptional regulator, Fis family"	"K07715"	"two-component system, NtrC family, response regulator GlrR"	"-"	"K07715 _ -"
"comp33519_c55_seq1.361.1995.plus.P31"	58.98	5.87	-3.31	0.000303	"yes"	"down"	"K01580"	"map02024"	"Alteromonas"	3.31	"K01580_Alteromonas"	"decarboxylase"	"K01580"	"glutamate decarboxylase [EC:4.1.1.15]"	"-"	"K01580 _ -"
"comp33543_c7_seq1.1001.2725.plus.P31"	42.69	2.8	-3.88	0.00032	"yes"	"down"	"K03217"	"map02024"	"Alteromonas"	3.88	"K03217_Alteromonas"	"Required for the insertion and or proper folding and or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins"	"K03217"	"YidC/Oxa1 family membrane protein insertase"	"-"	"K03217 _ -"
"comp33617_c0_seq1.2783.4072.plus.P31"	8.47	0.8	-3.24	0.000502	"yes"	"down"	"K07645"	"map02020"	"Alteromonas"	3.24	"K07645_Alteromonas"	"Histidine kinase"	"K07645"	"two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]"	"-"	"K07645 _ -"
"comp33617_c0_seq1.2783.4072.plus.P31"	8.47	0.8	-3.24	0.000502	"yes"	"down"	"K07645"	"map02024"	"Alteromonas"	3.24	"K07645_Alteromonas"	"Histidine kinase"	"K07645"	"two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]"	"-"	"K07645 _ -"
"comp49082_c0_seq1.812.1264.plus.P32"	26.25	1.74	-3.84	0.000547	"yes"	"down"	"K09823"	"map02024"	"Alteromonas"	3.84	"K09823_Alteromonas"	"Ferric uptake regulator, Fur family"	"K09823"	"Fur family transcriptional regulator, zinc uptake regulator"	"-"	"K09823 _ -"
"comp30703_c0_seq1.17645.19042.plus.P31"	123.75	6.45	-4.24	0.000566	"yes"	"down"	"K07711"	"map02020"	"Alteromonas"	4.24	"K07711_Alteromonas"	"Histidine kinase"	"K07711"	"two-component system, NtrC family, sensor histidine kinase GlrK [EC:2.7.13.3]"	"-"	"K07711 _ -"
"comp30703_c0_seq1.17645.19042.plus.P31"	123.75	6.45	-4.24	0.000566	"yes"	"down"	"K07711"	"map02024"	"Alteromonas"	4.24	"K07711_Alteromonas"	"Histidine kinase"	"K07711"	"two-component system, NtrC family, sensor histidine kinase GlrK [EC:2.7.13.3]"	"-"	"K07711 _ -"
"comp33942_c0_seq1.24542.26068.plus.P31"	4.15	0.48	-2.88	0.00064	"yes"	"down"	"K20263"	"map02020"	"Alteromonas"	2.88	"K20263_Alteromonas"	"2-oxopent-4-enoate hydratase activity"	"K20263"	"two-component system, NarL family, sensor histidine kinase FusK [EC:2.7.13.3]"	"-"	"K20263 _ -"
"comp33942_c0_seq1.24542.26068.plus.P31"	4.15	0.48	-2.88	0.00064	"yes"	"down"	"K20263"	"map02024"	"Alteromonas"	2.88	"K20263_Alteromonas"	"2-oxopent-4-enoate hydratase activity"	"K20263"	"two-component system, NarL family, sensor histidine kinase FusK [EC:2.7.13.3]"	"-"	"K20263 _ -"
"comp20241_c3_seq10.6547.7899.plus.P61"	1.58	0	-4.02	0.000713	"yes"	"down"	"K03076"	"map02024"	"Oceaniradius"	4.02	"K03076_Oceaniradius"	"The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently (By similarity)"	"K03076"	"preprotein translocase subunit SecY"	"secY"	"K03076 _ secY"
"comp116617_c0_seq1.132.1001.plus.P52"	5.3	0.65	-2.86	0.000789	"yes"	"down"	"K02034"	"map02024"	"Alteromonas"	2.86	"K02034_Alteromonas"	"Binding-protein-dependent transport systems inner membrane component"	"K02034"	"peptide/nickel transport system permease protein"	"-"	"K02034 _ -"
"comp7299_c0_seq1.1.672.minus.P53"	1.82	0.05	-3.66	0.000924	"yes"	"down"	"K18139"	"map02024"	"Alteromonas"	3.66	"K18139_Alteromonas"	"Membrane"	"K18139"	"outer membrane protein, multidrug efflux system"	"-"	"K18139 _ -"
"comp15355_c0_seq3.1.1312.minus.P41"	0.13	1.16	2.44	0.00105	"yes"	"up"	"K03070"	"map02024"	"Marinobacter"	2.44	"K03070_Marinobacter"	"Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving"	"K03070"	"preprotein translocase subunit SecA [EC:7.4.2.8]"	"secA"	"K03070 _ secA"
"comp8376_c0_seq1.264.1160.plus.P52"	8.91	0.82	-3.29	0.0012	"yes"	"down"	"K12990"	"map02024"	"Alteromonas"	3.29	"K12990_Alteromonas"	"Glycosyl transferase, family 2"	"K12990"	"rhamnosyltransferase [EC:2.4.1.-]"	"-"	"K12990 _ -"
"comp30477_c0_seq2.243.2150.plus.P31"	0.36	2.21	2.33	0.0015	"yes"	"up"	"K03217"	"map02024"	"Psychroserpens"	2.33	"K03217_Psychroserpens"	"Required for the insertion and or proper folding and or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins"	"K03217"	"YidC/Oxa1 family membrane protein insertase"	"yidC"	"K03217 _ yidC"
"comp50243_c0_seq1.40409.40822.plus.P32"	38.11	3.65	-3.35	0.00177	"no"	"down"	"K03075"	"map02024"	"Alteromonas"	3.35	"K03075_Alteromonas"	"Preprotein translocase, subunit SecG"	"K03075"	"preprotein translocase subunit SecG"	"-"	"K03075 _ -"
"comp32591_c0_seq1.203.3556.minus.P31"	0.44	1.95	1.92	0.00194	"no"	"up"	"K03070"	"map02024"	"Psychroserpens"	1.92	"K03070_Psychroserpens"	"Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving"	"K03070"	"preprotein translocase subunit SecA [EC:7.4.2.8]"	"secA"	"K03070 _ secA"
"comp12929_c0_seq1.6.1781.plus.P33"	0.11	0.84	2.19	0.00255	"no"	"up"	"K01897"	"map02024"	"Psychroserpens"	2.19	"K01897_Psychroserpens"	"Amp-dependent synthetase and ligase"	"K01897"	"long-chain acyl-CoA synthetase [EC:6.2.1.3]"	"-"	"K01897 _ -"
"comp32869_c2_seq1.11945.12280.plus.P31"	3.3	0.13	-3.85	0.00487	"no"	"down"	"K03210"	"map02024"	"Alteromonas"	3.85	"K03210_Alteromonas"	"preprotein translocase, yajc subunit"	"K03210"	"preprotein translocase subunit YajC"	"yajC"	"K03210 _ yajC"
"comp9128_c0_seq1.810.1784.plus.P21"	0.34	1.99	2.24	0.00494	"no"	"up"	"K03110"	"map02024"	"Psychroserpens"	2.24	"K03110_Psychroserpens"	"Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Acts as a receptor for the complex formed by the signal recognition particle (SRP) and the ribosome-nascent chain (RNC)"	"K03110"	"fused signal recognition particle receptor"	"-"	"K03110 _ -"
"comp5910_c0_seq2.1.735.minus.P11"	0	1.18	3.68	0.00537	"no"	"up"	"K01657"	"map02024"	"Hwanghaeella"	3.68	"K01657_Hwanghaeella"	"synthase (Component I)"	"K01657"	"anthranilate synthase component I [EC:4.1.3.27]"	"-"	"K01657 _ -"
"comp17159_c0_seq1.24.1076.plus.P43"	0.2	1.45	2.36	0.00544	"no"	"up"	"K01626"	"map02024"	"Marinobacter"	2.36	"K01626_Marinobacter"	"Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP) (By similarity)"	"K01626"	"3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"	"-"	"K01626 _ -"
"comp16180_c0_seq1.126.767.plus.P11"	1.11	4.49	1.92	0.00592	"no"	"up"	"K10914"	"map02020"	"Marinobacter"	1.92	"K10914_Marinobacter"	"transcriptional regulator, crp fnr family"	"K10914"	"CRP/FNR family transcriptional regulator, cyclic AMP receptor protein"	"-"	"K10914 _ -"
"comp16180_c0_seq1.126.767.plus.P11"	1.11	4.49	1.92	0.00592	"no"	"up"	"K10914"	"map02024"	"Marinobacter"	1.92	"K10914_Marinobacter"	"transcriptional regulator, crp fnr family"	"K10914"	"CRP/FNR family transcriptional regulator, cyclic AMP receptor protein"	"-"	"K10914 _ -"
"comp31656_c0_seq1.249.764.plus.P31"	0	1.15	3.64	0.0109	"no"	"up"	"K01658"	"map02024"	"Psychroserpens"	3.64	"K01658_Psychroserpens"	"anthranilate synthase"	"K01658"	"anthranilate synthase component II [EC:4.1.3.27]"	"-"	"K01658 _ -"
"comp19062_c4_seq1.19.791.minus.P12"	0	0.58	2.76	0.0181	"no"	"up"	"K01998"	"map02024"	"Marinobacter"	2.76	"K01998_Marinobacter"	"(ABC) transporter"	"K01998"	"branched-chain amino acid transport system permease protein"	"-"	"K01998 _ -"
"comp7178_c0_seq1.8.1213.minus.P11"	0.17	0.96	1.95	0.0185	"no"	"up"	"K01999"	"map02024"	"Marinobacter"	1.95	"K01999_Marinobacter"	"ABC transporter substrate-binding protein"	"K01999"	"branched-chain amino acid transport system substrate-binding protein"	"-"	"K01999 _ -"
"comp15675_c0_seq1.1.811.minus.P43"	3.92	11.1	1.48	0.0201	"no"	"up"	"K03076"	"map02024"	"Marinobacter"	1.48	"K03076_Marinobacter"	"The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently (By similarity)"	"K03076"	"preprotein translocase subunit SecY"	"-"	"K03076 _ -"
"comp97095_c0_seq1.1.548.minus.P13"	1.09	0.12	-2.43	0.0207	"no"	"down"	"K01997"	"map02024"	"Hwanghaeella"	2.43	"K01997_Hwanghaeella"	"(ABC) transporter"	"K01997"	"branched-chain amino acid transport system permease protein"	"-"	"K01997 _ -"
"comp17389_c0_seq2.1936.3027.plus.P11"	2.28	7.15	1.61	0.0223	"no"	"up"	"K11752"	"map02024"	"Marinobacter"	1.61	"K11752_Marinobacter"	"Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate (By similarity)|Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate (By similarity)"	"K11752"	"diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]"	"-"	"K11752 _ -"
"comp17915_c0_seq2.54.422.minus.P43"	0	1.07	3.54	0.0268	"no"	"up"	"K03073"	"map02024"	"Marinobacter"	3.54	"K03073_Marinobacter"	"preprotein translocase subunit SecE"	"K03073"	"preprotein translocase subunit SecE"	"-"	"K03073 _ -"
"comp199661_c0_seq1.1.455.minus.P73"	1.28	0.09	-2.89	0.0292	"no"	"down"	"K02054"	"map02024"	"Hwanghaeella"	2.89	"K02054_Hwanghaeella"	"transporter activity"	"K02054"	"putative spermidine/putrescine transport system permease protein"	"potB2"	"K02054 _ potB2"
"comp189168_c0_seq1.1.369.minus.P51"	1.63	0	-4.11	0.0305	"no"	"down"	"K02032"	"map02024"	"Hwanghaeella"	4.11	"K02032_Hwanghaeella"	"(ABC) transporter"	"K02032"	"peptide/nickel transport system ATP-binding protein"	"-"	"K02032 _ -"
"comp12490_c0_seq1.1.565.minus.P42"	0.46	2.27	2.08	0.0354	"no"	"up"	"K20276"	"map02024"	"Hwanghaeella"	2.08	"K20276_Hwanghaeella"	NA	"K20276"	"large repetitive protein"	"-"	"K20276 _ -"
"comp14840_c0_seq1.1.421.minus.P41"	0.2	1.55	2.44	0.0443	"no"	"up"	"K01997"	"map02024"	"Marinobacter"	2.44	"K01997_Marinobacter"	"(ABC) transporter"	"K01997"	"branched-chain amino acid transport system permease protein"	"-"	"K01997 _ -"
"comp49539_c0_seq3.1.1452.minus.P32"	0.27	0.9	1.45	0.0453	"no"	"up"	"K20276"	"map02024"	"Psychroserpens"	1.45	"K20276_Psychroserpens"	NA	"K20276"	"large repetitive protein"	"-"	"K20276 _ -"
"comp39504_c0_seq1.1022.1927.plus.P61"	1.39	3.77	1.37	0.0481	"no"	"up"	"K06998"	"map02024"	"Maricaulis"	1.37	"K06998_Maricaulis"	"phenazine biosynthesis protein, phzf family"	"K06998"	"trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]"	"phzF"	"K06998 _ phzF"
"comp27832_c0_seq2.4300.6606.plus.P33"	14.94	0.49	-4.68	2.51e-10	"yes"	"down"	"K03406"	"map02020"	"Alteromonas"	4.68	"K03406_Alteromonas"	"Methyl-accepting chemotaxis|Histidine kinase"	"K03406"	"methyl-accepting chemotaxis protein"	"-"	"K03406 _ -"
"comp33074_c1_seq1.11805.13766.plus.P31"	10.82	0.31	-4.75	5.49e-10	"yes"	"down"	"K03407"	"map02020"	"Alteromonas"	4.75	"K03407_Alteromonas"	"CheA signal transduction histidine kinase"	"K03407"	"two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]"	"-"	"K03407 _ -"
"comp30319_c11_seq1.7140.7700.plus.P33"	61.09	2.01	-4.85	6.32e-10	"yes"	"down"	"K07668"	"map02020"	"Alteromonas"	4.85	"K07668_Alteromonas"	"regulatoR"	"K07668"	"two-component system, OmpR family, response regulator VicR"	"-"	"K07668 _ -"
"comp30319_c2_seq1.583.1956.plus.P33"	21.16	0.37	-5.5	4.13e-09	"yes"	"down"	"K00425"	"map02020"	"Alteromonas"	5.5	"K00425_Alteromonas"	"(Ubiquinol oxidase) subunit I"	"K00425"	"cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]"	"-"	"K00425 _ -"
"comp32869_c17_seq1.163.1122.plus.P31"	55.96	3.34	-4.03	4.23e-09	"yes"	"down"	"K03415"	"map02020"	"Alteromonas"	4.03	"K03415_Alteromonas"	"chew protein"	"K03415"	"two-component system, chemotaxis family, chemotaxis protein CheV"	"-"	"K03415 _ -"
"comp42006_c1_seq1.20104.20943.plus.P32"	90.07	5.83	-3.93	1.49e-08	"yes"	"down"	"K02406"	"map02020"	"Alteromonas"	3.93	"K02406_Alteromonas"	"Flagellin"	"K02406"	"flagellin"	"-"	"K02406 _ -"
"comp16923_c0_seq1.2934.3299.plus.P31"	19.87	0.56	-4.91	1.86e-08	"yes"	"down"	"K03413"	"map02020"	"Alteromonas"	4.91	"K03413_Alteromonas"	"response regulator"	"K03413"	"two-component system, chemotaxis family, chemotaxis protein CheY"	"-"	"K03413 _ -"
"comp33337_c21_seq1.3384.4214.plus.P31"	42.21	2.38	-4.09	2.95e-08	"yes"	"down"	"K00575"	"map02020"	"Alteromonas"	4.09	"K00575_Alteromonas"	"Histidine kinase"	"K00575"	"chemotaxis protein methyltransferase CheR [EC:2.1.1.80]"	"-"	"K00575 _ -"
"comp49277_c2_seq1.20559.21311.plus.P32"	26.61	0.81	-4.87	5.8e-08	"yes"	"down"	"K07775"	"map02020"	"Alteromonas"	4.87	"K07775_Alteromonas"	"regulatoR"	"K07775"	"two-component system, OmpR family, response regulator ResD"	"-"	"K07775 _ -"
"comp30161_c1_seq1.1378.2052.plus.P33"	132.24	5.65	-4.52	1.08e-07	"yes"	"down"	"K07660"	"map02020"	"Alteromonas"	4.52	"K07660_Alteromonas"	"Two component transcriptional regulator, winged helix family"	"K07660"	"two-component system, OmpR family, response regulator PhoP"	"-"	"K07660 _ -"
"comp33337_c4_seq1.1133.2266.plus.P31"	19.6	1.23	-3.89	1.19e-07	"yes"	"down"	"K09696"	"map02020"	"Alteromonas"	3.89	"K09696_Alteromonas"	"(ABC) transporter"	"K09696"	"sodium transport system permease protein"	"-"	"K09696 _ -"
"comp30703_c0_seq1.12382.14058.plus.P31"	12.41	0.78	-3.84	2.04e-07	"yes"	"down"	"K20977"	"map02020"	"Alteromonas"	3.84	"K20977_Alteromonas"	"response regulator|protein serine threonine phosphatase"	"K20977"	"two-component system, HptB-dependent secretion and biofilm response regulator"	"-"	"K20977 _ -"
"comp33074_c1_seq3.5712.6758.plus.P31"	11.88	0.55	-4.21	2.55e-07	"yes"	"down"	"K03412"	"map02020"	"Alteromonas"	4.21	"K03412_Alteromonas"	"protein-glutamate methylesterase activity"	"K03412"	"two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]"	"-"	"K03412 _ -"
"comp25437_c0_seq1.1132.2328.minus.P51"	43.55	2.53	-4.05	3.34e-07	"yes"	"down"	"K00626"	"map02020"	"Alteromonas"	4.05	"K00626_Alteromonas"	"acetyl-coa acetyltransferase"	"K00626"	"acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"	"-"	"K00626 _ -"
"comp30319_c2_seq1.1968.2975.plus.P33"	8.93	0.21	-4.89	4.84e-07	"yes"	"down"	"K00426"	"map02020"	"Alteromonas"	4.89	"K00426_Alteromonas"	"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor"	"K00426"	"cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]"	"-"	"K00426 _ -"
"comp30161_c1_seq1.2058.3380.plus.P33"	32.22	1.1	-4.75	7.58e-07	"yes"	"down"	"K07637"	"map02020"	"Alteromonas"	4.75	"K07637_Alteromonas"	"Histidine kinase"	"K07637"	"two-component system, OmpR family, sensor histidine kinase PhoQ [EC:2.7.13.3]"	"-"	"K07637 _ -"
"comp30384_c3_seq1.311.1966.plus.P33"	138.72	4.36	-4.96	7.63e-07	"yes"	"down"	"K02313"	"map02020"	"Alteromonas"	4.96	"K02313_Alteromonas"	"it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids (By similarity)"	"K02313"	"chromosomal replication initiator protein"	"-"	"K02313 _ -"
"comp30568_c0_seq1.987.1856.plus.P33"	61.09	4.18	-3.84	1.15e-06	"yes"	"down"	"K10941"	"map02020"	"Alteromonas"	3.84	"K10941_Alteromonas"	"two component, sigma54 specific, transcriptional regulator, Fis family"	"K10941"	"sigma-54 dependent transcriptional regulator, flagellar regulatory protein"	"-"	"K10941 _ -"
"comp42007_c0_seq1.4418.7072.plus.P32"	10.72	0.46	-4.28	1.39e-06	"yes"	"down"	"K11354"	"map02020"	"Alteromonas"	4.28	"K11354_Alteromonas"	"Histidine kinase"	"K11354"	"two-component system, chemotaxis family, sensor kinase Cph1 [EC:2.7.13.3]"	"-"	"K11354 _ -"
"comp33025_c0_seq1.17804.19387.plus.P31"	7.46	0.24	-4.47	1.61e-06	"yes"	"down"	"K03776"	"map02020"	"Alteromonas"	4.47	"K03776_Alteromonas"	"PAS fold"	"K03776"	"aerotaxis receptor"	"-"	"K03776 _ -"
"comp33519_c22_seq7.3436.5604.minus.P31"	29.43	1.3	-4.4	1.92e-06	"yes"	"down"	"K14980"	"map02020"	"Alteromonas"	4.4	"K14980_Alteromonas"	"Histidine kinase"	"K14980"	"two-component system, OmpR family, sensor histidine kinase ChvG [EC:2.7.13.3]"	"-"	"K14980 _ -"
"comp13196_c0_seq1.6181.7371.plus.P33"	9.79	0.51	-4.01	3.37e-06	"yes"	"down"	"K01051"	"map02020"	"Alteromonas"	4.01	"K01051_Alteromonas"	"pectinesterase"	"K01051"	"pectinesterase [EC:3.1.1.11]"	"-"	"K01051 _ -"
"comp27741_c0_seq2.19888.20550.plus.P33"	52.26	5.2	-3.3	3.7e-06	"yes"	"down"	"K02405"	"map02020"	"Alteromonas"	3.3	"K02405_Alteromonas"	"Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)"	"K02405"	"RNA polymerase sigma factor FliA"	"fliA"	"K02405 _ fliA"
"comp29697_c0_seq1.1250.3922.plus.P33"	10.95	0.79	-3.63	3.74e-06	"yes"	"down"	"K20973"	"map02020"	"Alteromonas"	3.63	"K20973_Alteromonas"	"Histidine kinase"	"K20973"	"two-component system, sensor histidine kinase SagS [EC:2.7.13.3]"	"-"	"K20973 _ -"
"comp22364_c0_seq1.2616.4020.minus.P51"	9.22	0.56	-3.83	4.81e-06	"yes"	"down"	"K07712"	"map02020"	"Alteromonas"	3.83	"K07712_Alteromonas"	"two component, sigma54 specific, transcriptional regulator, Fis family"	"K07712"	"two-component system, NtrC family, nitrogen regulation response regulator GlnG"	"-"	"K07712 _ -"
"comp30477_c0_seq1.14255.15016.plus.P33"	30.45	3.18	-3.22	6.76e-06	"yes"	"down"	"K02556"	"map02020"	"Alteromonas"	3.22	"K02556_Alteromonas"	"MotA TolQ exbB proton channel"	"K02556"	"chemotaxis protein MotA"	"-"	"K02556 _ -"
