seq_id	P5_mean_fpkm	P3_mean_fpkm	logFC.P3.P5.	p.value	significant	regulate	KO	Pathway	g	KO_g
comp48825_c0_seq1.1267.2457.plus.P32	0.25	1.58	2.25	0.0253	no	up	K02472	"map00520,map00541,map01100,map01250,map02020,map05111"	Psychroserpens	K02472_Psychroserpens
comp47121_c0_seq1.280.1215.plus.P32	0.08	1.07	2.73	0.0256	no	up	K04771	"map01503,map02020"	Psychroserpens	K04771_Psychroserpens
comp32408_c4_seq1.2355.4358.plus.P31	127.3	709.99	2.48	0.0258	no	up	K20974	"map02020,map02025"	Alteromonas	K20974_Alteromonas
comp79849_c0_seq1.1.740.minus.P31	0.09	1.57	3.15	0.0266	no	up	K13599	map02020	Psychroserpens	K13599_Psychroserpens
comp50285_c0_seq1.4916.5713.plus.P32	1.11	6.98	2.55	0.028	no	up	K00575	"map02020,map02030"	Alteromonas	K00575_Alteromonas
comp33482_c0_seq1.1.443.minus.P31	2.05	0.18	-2.96	0.0282	no	down	K02406	"map02020,map02040,map04621,map04626,map05131,map05132,map05134"	Thalassospira	K02406_Thalassospira
comp33339_c14_seq1.8812.9234.plus.P31	29.84	149.6	2.32	0.0287	no	up	K02650	map02020	Alteromonas	K02650_Alteromonas
comp33942_c0_seq1.6662.7726.plus.P31	1.01	5.64	2.37	0.0296	no	up	K07165	map02020	Alteromonas	K07165_Alteromonas
comp196992_c0_seq1.1.517.minus.P42	0	0.86	3.27	0.0312	no	up	K03412	"map02020,map02030"	Marinobacter	K03412_Marinobacter
comp16151_c0_seq3.17.355.plus.P22	16.65	95.21	2.51	0.0322	no	up	K04751	map02020	Oceaniradius	K04751_Oceaniradius
comp42006_c1_seq1.28470.29270.plus.P32	96.63	395.02	2.03	0.0337	no	up	K02406	"map02020,map02040,map04621,map04626,map05131,map05132,map05134"	Alteromonas	K02406_Alteromonas
comp20617_c1_seq1.2891.3283.plus.P12	0.35	2.93	2.76	0.0353	no	up	K02657	"map02020,map02025"	Marinobacter	K02657_Marinobacter
comp114341_c0_seq1.13.840.plus.P51	2.26	0.43	-2.15	0.0388	no	down	K00413	"map00190,map01100,map02020,map04260,map04714,map04932,map05010,map05012,map05014,map05016,map05020,map05022,map05208,map05415"	Altererythrobacter	K00413_Altererythrobacter
comp47636_c0_seq1.1303.1965.plus.P32	1.06	6.31	2.46	0.0412	no	up	K07705	map02020	Alteromonas	K07705_Alteromonas
comp33074_c1_seq3.5712.6758.plus.P31	11.88	62.28	2.38	0.0422	no	up	K03412	"map02020,map02030"	Alteromonas	K03412_Alteromonas
comp15795_c0_seq1.1.852.minus.P31	0.12	2.14	3.36	0.0437	no	up	K00990	map02020	Maricaulis	K00990_Maricaulis
comp21939_c0_seq1.6268.7275.plus.P12	11.36	2.76	-2	0.044	no	down	K00426	"map00190,map02020"	Oceaniradius	K00426_Oceaniradius
comp253349_c0_seq1.1.302.minus.P41	0.83	5.7	2.64	0.045	no	up	K02406	"map02020,map02040,map04621,map04626,map05131,map05132,map05134"	Marinobacter	K02406_Marinobacter
comp30703_c0_seq1.12382.14058.plus.P31	12.41	54.51	2.13	0.048	no	up	K20977	"map02020,map02025"	Alteromonas	K20977_Alteromonas
comp14978_c0_seq1.1454.1903.plus.P31	0.72	736.58	9.81	4.98E-13	yes	up	K13993	-	Psychroserpens	K13993_Psychroserpens
comp50232_c5_seq1.24.521.minus.P32	22.5	92.4	2.03	0.0364	no	up	K13993	-	Alteromonas	K13993_Alteromonas
comp19882_c0_seq1.42.689.plus.P31	0.12	11.91	5.77	3.57E-06	yes	up	K00275	-	Psychroserpens	K00275_Psychroserpens
comp16014_c4_seq2.2300.2842.plus.P11	40.75	2.06	-4.24	0.000494	yes	down	K00275	-	Prochlorococcus	K00275_Prochlorococcus
comp42416_c0_seq1.1043.1993.plus.P32	0.04	4.79	5.16	8.33E-06	yes	up	K06949	-	Psychroserpens	K06949_Psychroserpens
comp17125_c0_seq1.4135.5073.plus.P11	69.15	10.27	-2.74	0.00394	no	down	K06949	-	Prochlorococcus	K06949_Prochlorococcus
comp40238_c0_seq1.18.2627.plus.P31	0.73	16.99	4.37	3.91E-05	yes	up	K03695	-	Psychroserpens	K03695_Psychroserpens
comp17591_c120_seq1.472.3063.minus.P11	743.99	56.36	-3.72	0.000143	yes	down	K03695	-	Prochlorococcus	K03695_Prochlorococcus
comp34187_c0_seq1.905.3511.plus.P31	5.38	38.66	2.82	0.013	no	up	K03695	-	Maricaulis	K03695_Maricaulis
comp31412_c0_seq2.454.2751.minus.P31	0.53	7.74	3.65	0.000855	yes	up	K00029	-	Psychroserpens	K00029_Psychroserpens
comp16745_c14_seq1.2507.3633.minus.P52	1321.9	56.91	-4.54	3.61E-06	yes	down	K03531	-	Prochlorococcus	K03531_Prochlorococcus
comp27342_c0_seq1.31.416.minus.P71	0	1.42	3.92	0.0233	no	up	K03531	-	Psychroserpens	K03531_Psychroserpens
comp16211_c1_seq2.11079.12389.plus.P22	0	295.92	11.53	2.10E-15	yes	up	K00525	-	Tangaroavirus	K00525_Tangaroavirus
comp15878_c0_seq1.1.1894.minus.P12	6.65	0.64	-3.19	0.00172	no	down	K00525	-	Maricaulis	K00525_Maricaulis
comp196143_c0_seq1.1.356.minus.P72	2.13	0	-4.48	0.042	no	down	K00525	-	Hwanghaeella	K00525_Hwanghaeella
comp30613_c0_seq1.6460.7215.plus.P31	3029.84	25.39	-6.89	5.46E-10	yes	down	K03570	-	Prochlorococcus	K03570_Prochlorococcus
comp17335_c7_seq9.1.957.minus.P42	11.57	0	-6.87	7.77E-09	yes	down	K08923	-	Prochlorococcus	K08923_Prochlorococcus
comp20182_c4_seq1.17108.18241.plus.P12	1033.68	55.06	-4.23	1.16E-05	yes	down	K03553	-	Prochlorococcus	K03553_Prochlorococcus
comp57621_c0_seq1.40.1098.plus.P52	5.3	0.24	-4	0.000241	yes	down	K03553	-	Erythrobacter	K03553_Erythrobacter
comp21430_c1_seq1.103.1107.minus.P21	0.3	5.3	3.76	0.00102	yes	up	K03553	-	Psychroserpens	K03553_Psychroserpens
comp16556_c0_seq2.26.1202.minus.P52	6.79	1.39	-2.21	0.0407	no	down	K03553	-	Hwanghaeella	K03553_Hwanghaeella
comp17378_c0_seq1.50.865.plus.P11	0.04	0.99	2.98	0.0423	no	up	K03553	-	Marinobacter	K03553_Marinobacter
comp14295_c38_seq1.1262.2038.plus.P13	879.6	82.09	-3.42	0.000242	yes	down	K03969	-	Prochlorococcus	K03969_Prochlorococcus
comp19866_c0_seq1.166.1116.plus.P11	26.61	1.94	-3.71	0.00116	yes	down	K03969	-	Altererythrobacter	K03969_Altererythrobacter
comp361529_c0_seq1.1.470.minus.P12	0	5.62	5.84	0.000553	yes	up	K14161	-	Oceaniradius	K14161_Oceaniradius
comp109618_c0_seq1.306.939.minus.P33	0.18	6.56	4.56	0.00153	no	up	K14161	-	Maricaulis	K14161_Maricaulis
comp24386_c0_seq1.62.556.plus.P32	0	4.55	5.54	0.000788	yes	up	K03642	-	Maricaulis	K03642_Maricaulis
comp17049_c0_seq1.1.891.minus.P61	4.42	0.56	-2.77	0.00857	no	down	K03642	-	Hwanghaeella	K03642_Hwanghaeella
comp21051_c0_seq1.59.1180.plus.P52	22.53	0.18	-6.36	1.12E-05	yes	down	K03286	-	Hwanghaeella	K03286_Hwanghaeella
comp36811_c0_seq1.33.1391.minus.P31	3.46	37.41	3.4	0.00107	yes	up	K03286	-	Psychroserpens	K03286_Psychroserpens
comp18016_c0_seq1.61.624.plus.P53	23.84	0.19	-6.36	1.33E-05	yes	down	K24119	-	Hwanghaeella	K24119_Hwanghaeella
comp7861_c0_seq1.11.577.plus.P11	9.33	0.4	-4.23	0.000347	yes	down	K24119	-	Altererythrobacter	K24119_Altererythrobacter
comp13263_c0_seq1.2398.2961.plus.P33	2537.46	354.49	-2.84	0.0215	no	down	K24119	-	Alteromonas	K24119_Alteromonas
comp8204_c0_seq1.65.476.minus.P12	7.78	0.06	-5.58	1.02E-05	yes	down	K03190	-	Hwanghaeella	K03190_Hwanghaeella
comp13652_c0_seq1.8125.9048.plus.P13	56.26	9.38	-2.57	0.00535	no	down	K03190	-	Prochlorococcus	K03190_Prochlorococcus
comp14146_c0_seq1.6620.8143.minus.P11	12700.88	88.83	-7.16	7.84E-10	yes	down	K02704	"map00195,map01100"	Prochlorococcus	K02704_Prochlorococcus
comp16211_c1_seq1.29419.30960.plus.P22	0	455.87	12.15	3.85E-17	yes	up	K17680	-	Tangaroavirus	K17680_Tangaroavirus
